TraceFormat:%JOBID%|%TIME%|%CAT%|%PNAME%|%USERTEXT%|
-1|2026/05/27-14:35:54.975932|OpenRecon.only.0|MrIrisContainer|--> Keep incoming image geometry : 1 in series 2|
-1|2026/05/27-14:35:54.976376|OpenRecon.only.0|MrIrisContainer|Retrieving FillMiniHeaderData from ParcEnvironment|
-1|2026/05/27-14:35:54.976438|OpenRecon.only.0|MrIrisContainer|Created new SeriesInstanceUID '1.3.12.2.1107.5.2.63.213061.2026052714355497643751337' for series number 2|
192|2026/05/27-14:35:54.977032|OpenRecon.only.0|MrIrisContainer|ChangeContentQualification: Not granted - because: Invalid or nor present signature.; |
192|2026/05/27-14:35:54.977055|OpenRecon.only.0|MrIrisContainer|ChangeContentQualification: Changed ContentQualification from '' to 'RESEARCH'.|
-1|2026/05/27-14:35:54.977400|OpenRecon.only.0|MrIrisContainer|--> Keep incoming image geometry : 2 in series 2|
-1|2026/05/27-14:35:54.977758|OpenRecon.only.0|MrIrisContainer|Retrieving FillMiniHeaderData from ParcEnvironment|
192|2026/05/27-14:35:54.977884|ICE.IceImageReconFunctors.DLL|MrIrisContainer|First data reached Functor 'imagesend'.|
192|2026/05/27-14:35:54.978324|OpenRecon.only.0|MrIrisContainer|ChangeContentQualification: Not granted - because: Invalid or nor present signature.; |
192|2026/05/27-14:35:54.978335|OpenRecon.only.0|MrIrisContainer|ChangeContentQualification: Changed ContentQualification from '' to 'RESEARCH'.|
-1|2026/05/27-14:35:54.978645|OpenRecon.only.0|MrIrisContainer|--> Keep incoming image geometry : 3 in series 2|
-1|2026/05/27-14:35:54.978994|OpenRecon.only.0|MrIrisContainer|Retrieving FillMiniHeaderData from ParcEnvironment|
192|2026/05/27-14:35:54.979469|OpenRecon.only.0|MrIrisContainer|ChangeContentQualification: Not granted - because: Invalid or nor present signature.; |
192|2026/05/27-14:35:54.979483|OpenRecon.only.0|MrIrisContainer|ChangeContentQualification: Changed ContentQualification from '' to 'RESEARCH'.|
-1|2026/05/27-14:35:54.979829|OpenRecon.only.0|MrIrisContainer|--> Keep incoming image geometry : 4 in series 2|
-1|2026/05/27-14:35:54.980035|OpenRecon.only.0|MrIrisContainer|Retrieving FillMiniHeaderData from ParcEnvironment|
192|2026/05/27-14:35:54.980578|OpenRecon.only.0|MrIrisContainer|ChangeContentQualification: Not granted - because: Invalid or nor present signature.; |
192|2026/05/27-14:35:54.980590|OpenRecon.only.0|MrIrisContainer|ChangeContentQualification: Changed ContentQualification from '' to 'RESEARCH'.|
-1|2026/05/27-14:35:54.980941|OpenRecon.only.0|MrIrisContainer|--> Keep incoming image geometry : 5 in series 2|
-1|2026/05/27-14:35:54.981138|OpenRecon.only.0|MrIrisContainer|Retrieving FillMiniHeaderData from ParcEnvironment|
