target	status	commit	ci_job
afib1 | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772144181
afib1_arm64 | aarch64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772144273
afni | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772144183
aidamri | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300913738
amico | x86_64	success	4f2fa5a84317f6b226c43624e1a15b6c2039b736	https://github.com/neurodesk/neurocontainers/actions/runs/34132025245/job/101774181814
amico_arm64 | aarch64	success	4f2fa5a84317f6b226c43624e1a15b6c2039b736	https://github.com/neurodesk/neurocontainers/actions/runs/34132028732/job/101774204645
ants | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300913693
apptainer | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300913733
apptainer_arm64 | aarch64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298658178/job/102300709073
arfiproc | x86_64	success	4f2fa5a84317f6b226c43624e1a15b6c2039b736	https://github.com/neurodesk/neurocontainers/actions/runs/34132025245/job/101774181832
arfiproc_arm64 | aarch64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772144259
ashs | x86_64	success	4f2fa5a84317f6b226c43624e1a15b6c2039b736	https://github.com/neurodesk/neurocontainers/actions/runs/34132025245/job/101774181826
aslprep | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300913703
b0map | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772144283
b0map_arm64 | aarch64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772144219
bart | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772144220
batchheudiconv | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772144287
batchheudiconv_arm64 | aarch64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772144326
bcbtoolkit | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772144265
bidsappaa | x86_64	success	6bdf880c004ec01fa971e76dbdf0e5c3138dc65e	https://github.com/neurodesk/neurocontainers/actions/runs/34138381897/job/101794612034
bidsappbaracus | x86_64	success	6bdf880c004ec01fa971e76dbdf0e5c3138dc65e	https://github.com/neurodesk/neurocontainers/actions/runs/34138381897/job/101794612042
bidsappbrainsuite | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772144266
bidsapphcppipelines | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772144306
bidsappmrtrix3connectome | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772145856
bidsapppymvpa | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772145910
bidsappspm | x86_64	success	b2cb602d34c28184dd7c5483a5a23d96025069bf	https://github.com/neurodesk/neurocontainers/actions/runs/34136126095/job/101787456343
bidscoin | x86_64	success	035d6f27c5ed1f9c46b0f2879c6492975cff45d9	https://github.com/neurodesk/neurocontainers/actions/runs/34299375988/job/102302877296
bidscoin_arm64 | aarch64	success	035d6f27c5ed1f9c46b0f2879c6492975cff45d9	https://github.com/neurodesk/neurocontainers/actions/runs/34299375988/job/102302877300
bidsmanager | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300913706
bidsmanager_arm64 | aarch64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298658178/job/102300709047
bidsme | x86_64	success	384df034031e2181e602fa90a0dc17fc2331916b	https://github.com/neurodesk/neurocontainers/actions/runs/34134545602/job/101782352739
bidsme_arm64 | aarch64	success	384df034031e2181e602fa90a0dc17fc2331916b	https://github.com/neurodesk/neurocontainers/actions/runs/34134545602/job/101782352813
bidstools | x86_64	success	384df034031e2181e602fa90a0dc17fc2331916b	https://github.com/neurodesk/neurocontainers/actions/runs/34134545602/job/101782352768
bidstools_arm64 | aarch64	success	384df034031e2181e602fa90a0dc17fc2331916b	https://github.com/neurodesk/neurocontainers/actions/runs/34134545602/job/101782352836
bidsvue | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300913681
blastct | x86_64	success	384df034031e2181e602fa90a0dc17fc2331916b	https://github.com/neurodesk/neurocontainers/actions/runs/34134545602/job/101782352715
blastct_arm64 | aarch64	success	384df034031e2181e602fa90a0dc17fc2331916b	https://github.com/neurodesk/neurocontainers/actions/runs/34134545602/job/101782352669
blender | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300913699
blochsiegertb1mapping | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772146255
braid | x86_64	success	c1f03b2b85e86573e1d5e78d9af55faf1d1cb2b5	https://github.com/neurodesk/neurocontainers/actions/runs/34316207020/job/102352883714
brainager | x86_64	success	f9071635501b833c7e5b19ba48ac18e36c116eb9	https://github.com/neurodesk/neurocontainers/actions/runs/34137219518/job/101790925643
brainles-aurora | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772147565
brainles-preprocessing | x86_64	success	8b5ba62b9be977a6d3f109db3a5ace2116fec5d1	https://github.com/neurodesk/neurocontainers/actions/runs/34317558162/job/102356914887
brainlesion | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772148046
brainlifecli | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772147876
brainnetviewer | x86_64	success	b7f552bdae0a52db20616daa26a91af604b738d9	https://github.com/neurodesk/neurocontainers/actions/runs/34139410693/job/101797825471
brainstorm | x86_64	success	777a50730f24124e9e4dfb8834c298d0571f3901	https://github.com/neurodesk/neurocontainers/actions/runs/34139694268/job/101798708128
brainsuite | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300913696
brainvisa | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300913688
brats | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772147777
brkraw | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300913736
builder | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772147864
builder_arm64 | aarch64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772147879
cartool | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300913764
cat12 | x86_64	success	d5b8c704df00fcf4883861326b1d245f02e607fc	https://github.com/neurodesk/neurocontainers/actions/runs/34300071379/job/102304935146
cbsb0stats | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772148902
cbsb0stats_arm64 | aarch64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772148998
